id,project_id,license
1,1,In accordance with the agreement between FSD and the depositor.
2,2,In accordance with the agreement between FSD and the depositor.
3,3,Tietoarkiston ja aineiston luovuttajan tekemän sopimuksen mukaisesti.
4,4,Tietoarkiston ja aineiston luovuttajan tekemän sopimuksen mukaisesti.
5,5,In accordance with the agreement between FSD and the depositor.
6,6,In accordance with the agreement between FSD and the depositor.
7,7,In accordance with the agreement between FSD and the depositor.
8,8,In accordance with the agreement between FSD and the depositor.
9,9,In accordance with the agreement between FSD and the depositor.
10,10,In accordance with the agreement between FSD and the depositor.
11,11,In accordance with the agreement between FSD and the depositor.
12,12,In accordance with the agreement between FSD and the depositor.
13,13,In accordance with the agreement between FSD and the depositor.
14,14,In accordance with the agreement between FSD and the depositor.
15,15,In accordance with the agreement between FSD and the depositor.
16,16,In accordance with the agreement between FSD and the depositor.
17,17,In accordance with the agreement between FSD and the depositor.
18,18,In accordance with the agreement between FSD and the depositor.
19,19,In accordance with the agreement between FSD and the depositor.
20,20,In accordance with the agreement between FSD and the depositor.
21,21,In accordance with the agreement between FSD and the depositor.
22,22,In accordance with the agreement between FSD and the depositor.
23,23,In accordance with the agreement between FSD and the depositor.
24,24,In accordance with the agreement between FSD and the depositor.
25,25,In accordance with the agreement between FSD and the depositor.
26,26,In accordance with the agreement between FSD and the depositor.
27,27,In accordance with the agreement between FSD and the depositor.
28,28,In accordance with the agreement between FSD and the depositor.
29,29,In accordance with the agreement between FSD and the depositor.
30,30,In accordance with the agreement between FSD and the depositor.
31,31,In accordance with the agreement between FSD and the depositor.
32,32,In accordance with the agreement between FSD and the depositor.
33,33,In accordance with the agreement between FSD and the depositor.
34,34,In accordance with the agreement between FSD and the depositor.
35,35,In accordance with the agreement between FSD and the depositor.
36,36,In accordance with the agreement between FSD and the depositor.
37,37,In accordance with the agreement between FSD and the depositor.
38,38,In accordance with the agreement between FSD and the depositor.
39,39,In accordance with the agreement between FSD and the depositor.
40,40,In accordance with the agreement between FSD and the depositor.
41,41,In accordance with the agreement between FSD and the depositor.
42,42,In accordance with the agreement between FSD and the depositor.
43,43,In accordance with the agreement between FSD and the depositor.
44,44,In accordance with the agreement between FSD and the depositor.
45,45,In accordance with the agreement between FSD and the depositor.
46,46,In accordance with the agreement between FSD and the depositor.
47,47,In accordance with the agreement between FSD and the depositor.
48,48,In accordance with the agreement between FSD and the depositor.
49,49,In accordance with the agreement between FSD and the depositor.
50,50,In accordance with the agreement between FSD and the depositor.
51,51,In accordance with the agreement between FSD and the depositor.
52,52,In accordance with the agreement between FSD and the depositor.
53,53,In accordance with the agreement between FSD and the depositor.
54,54,In accordance with the agreement between FSD and the depositor.
55,55,In accordance with the agreement between FSD and the depositor.
56,56,In accordance with the agreement between FSD and the depositor.
57,57,In accordance with the agreement between FSD and the depositor.
58,58,In accordance with the agreement between FSD and the depositor.
59,59,In accordance with the agreement between FSD and the depositor.
60,60,In accordance with the agreement between FSD and the depositor.
61,61,In accordance with the agreement between FSD and the depositor.
62,62,In accordance with the agreement between FSD and the depositor.
63,63,In accordance with the agreement between FSD and the depositor.
64,64,In accordance with the agreement between FSD and the depositor.
65,65,In accordance with the agreement between FSD and the depositor.
66,66,In accordance with the agreement between FSD and the depositor.
67,67,In accordance with the agreement between FSD and the depositor.
68,68,In accordance with the agreement between FSD and the depositor.
69,69,In accordance with the agreement between FSD and the depositor.
70,70,In accordance with the agreement between FSD and the depositor.
71,71,In accordance with the agreement between FSD and the depositor.
72,72,In accordance with the agreement between FSD and the depositor.
73,73,In accordance with the agreement between FSD and the depositor.
74,74,In accordance with the agreement between FSD and the depositor.
75,75,In accordance with the agreement between FSD and the depositor.
76,76,In accordance with the agreement between FSD and the depositor.
77,77,In accordance with the agreement between FSD and the depositor.
78,78,In accordance with the agreement between FSD and the depositor.
79,79,In accordance with the agreement between FSD and the depositor.
80,80,In accordance with the agreement between FSD and the depositor.
81,81,In accordance with the agreement between FSD and the depositor.
82,82,In accordance with the agreement between FSD and the depositor.
