id,project_id,repository_id,project_url,name,role
1,1,11,https://services.fsd.tuni.fi/catalogue/FSD4042,"Koskela, Riikka",UNKNOWN
2,1,11,https://services.fsd.tuni.fi/catalogue/FSD4042,"Koskela, Riikka",UNKNOWN
3,2,11,https://services.fsd.tuni.fi/catalogue/FSD3934,"Tuohineva, Anniina",UNKNOWN
4,2,11,https://services.fsd.tuni.fi/catalogue/FSD3934,"Tuohineva, Anniina",UNKNOWN
5,3,11,https://services.fsd.tuni.fi/catalogue/FSD3992,Opetus- ja kulttuuriministeriö. Valtion nuorisoneuvosto,UNKNOWN
6,3,11,https://services.fsd.tuni.fi/catalogue/FSD3992,Valtion liikuntaneuvosto,UNKNOWN
7,3,11,https://services.fsd.tuni.fi/catalogue/FSD3992,Nuorisotutkimusseura. Nuorisotutkimusverkosto,UNKNOWN
8,4,11,https://services.fsd.tuni.fi/catalogue/FSD3990,Nuorisotutkimusseura,UNKNOWN
9,4,11,https://services.fsd.tuni.fi/catalogue/FSD3990,Opetus- ja kulttuuriministeriö. Valtion nuorisoneuvosto,UNKNOWN
10,5,11,https://services.fsd.tuni.fi/catalogue/FSD3605,"Tiitinen, Sanni",UNKNOWN
11,5,11,https://services.fsd.tuni.fi/catalogue/FSD3605,"Lempiälä, Tea",UNKNOWN
12,5,11,https://services.fsd.tuni.fi/catalogue/FSD3605,"Tiitinen, Sanni",UNKNOWN
13,5,11,https://services.fsd.tuni.fi/catalogue/FSD3605,"Lempiälä, Tea",UNKNOWN
14,6,11,https://services.fsd.tuni.fi/catalogue/FSD3604,"Tiitinen, Sanni",UNKNOWN
15,6,11,https://services.fsd.tuni.fi/catalogue/FSD3604,"Tiitinen, Sanni",UNKNOWN
16,7,11,https://services.fsd.tuni.fi/catalogue/FSD3647,Nuorisotutkimusseura. Nuorisotutkimusverkosto,UNKNOWN
17,7,11,https://services.fsd.tuni.fi/catalogue/FSD3647,Turun yliopisto. Tulevaisuuden tutkimuskeskus,UNKNOWN
18,7,11,https://services.fsd.tuni.fi/catalogue/FSD3647,Finnish Youth Research Society. Finnish Youth Research Network,UNKNOWN
19,7,11,https://services.fsd.tuni.fi/catalogue/FSD3647,University of Turku. Finland Futures Research Centre,UNKNOWN
20,8,11,https://services.fsd.tuni.fi/catalogue/FSD3534,Opetus- ja kulttuuriministeriö. Valtion nuorisoneuvosto,UNKNOWN
21,8,11,https://services.fsd.tuni.fi/catalogue/FSD3534,Valtion liikuntaneuvosto,UNKNOWN
22,8,11,https://services.fsd.tuni.fi/catalogue/FSD3534,Nuorisotutkimusseura,UNKNOWN
23,8,11,https://services.fsd.tuni.fi/catalogue/FSD3534,State Youth Council,UNKNOWN
24,8,11,https://services.fsd.tuni.fi/catalogue/FSD3534,National Sports Council,UNKNOWN
25,8,11,https://services.fsd.tuni.fi/catalogue/FSD3534,Finnish Youth Research Society,UNKNOWN
26,9,11,https://services.fsd.tuni.fi/catalogue/FSD3425,"Heikkilä, Saara",UNKNOWN
27,9,11,https://services.fsd.tuni.fi/catalogue/FSD3425,"Heikkilä, Saara",UNKNOWN
28,10,11,https://services.fsd.tuni.fi/catalogue/FSD3786,"Pösö, Tarja",UNKNOWN
29,10,11,https://services.fsd.tuni.fi/catalogue/FSD3786,"Pösö, Tarja",UNKNOWN
30,11,11,https://services.fsd.tuni.fi/catalogue/FSD3609,Suomalaisen Kirjallisuuden Seura (SKS). Arkisto,UNKNOWN
31,11,11,https://services.fsd.tuni.fi/catalogue/FSD3609,Finnish Literature Society. Archive,UNKNOWN
32,12,11,https://services.fsd.tuni.fi/catalogue/FSD3535,Valtion liikuntaneuvosto,UNKNOWN
33,12,11,https://services.fsd.tuni.fi/catalogue/FSD3535,Opetus- ja kulttuuriministeriö. Valtion nuorisoneuvosto,UNKNOWN
34,12,11,https://services.fsd.tuni.fi/catalogue/FSD3535,Nuorisotutkimusseura,UNKNOWN
35,12,11,https://services.fsd.tuni.fi/catalogue/FSD3535,National Sports Council,UNKNOWN
36,12,11,https://services.fsd.tuni.fi/catalogue/FSD3535,State Youth Council,UNKNOWN
37,12,11,https://services.fsd.tuni.fi/catalogue/FSD3535,Finnish Youth Research Society,UNKNOWN
38,13,11,https://services.fsd.tuni.fi/catalogue/FSD3129,Nuorisoasiain neuvottelukunta (Nuora),UNKNOWN
39,13,11,https://services.fsd.tuni.fi/catalogue/FSD3129,Nuorisotutkimusseura. Nuorisotutkimusverkosto,UNKNOWN
40,13,11,https://services.fsd.tuni.fi/catalogue/FSD3129,Advisory Council for Youth Affairs (Nuora),UNKNOWN
41,13,11,https://services.fsd.tuni.fi/catalogue/FSD3129,Finnish Youth Research Society. Finnish Youth Research Network,UNKNOWN
42,14,11,https://services.fsd.tuni.fi/catalogue/FSD3955,Maanpuolustustiedotuksen suunnittelukunta (MTS),UNKNOWN
43,14,11,https://services.fsd.tuni.fi/catalogue/FSD3955,Advisory Board for Defence Information (ABDI),UNKNOWN
44,15,11,https://services.fsd.tuni.fi/catalogue/FSD3203,Tampere Praksis,UNKNOWN
45,15,11,https://services.fsd.tuni.fi/catalogue/FSD3203,Tampere Praksis Project,UNKNOWN
46,16,11,https://services.fsd.tuni.fi/catalogue/FSD2957,"Santaoja, Minna",UNKNOWN
47,16,11,https://services.fsd.tuni.fi/catalogue/FSD2957,"Santaoja, Minna",UNKNOWN
48,17,11,https://services.fsd.tuni.fi/catalogue/FSD2867,"Torsti, Pilvi",UNKNOWN
49,17,11,https://services.fsd.tuni.fi/catalogue/FSD2867,"van den Berg, Marko",UNKNOWN
50,17,11,https://services.fsd.tuni.fi/catalogue/FSD2867,"Torsti, Pilvi",UNKNOWN
51,17,11,https://services.fsd.tuni.fi/catalogue/FSD2867,"van den Berg, Marko",UNKNOWN
52,18,11,https://services.fsd.tuni.fi/catalogue/FSD3504,"Santaoja, Minna",UNKNOWN
53,18,11,https://services.fsd.tuni.fi/catalogue/FSD3504,"Santaoja, Minna",UNKNOWN
54,19,11,https://services.fsd.tuni.fi/catalogue/FSD3807,"Turjanmaa, Elina",UNKNOWN
55,19,11,https://services.fsd.tuni.fi/catalogue/FSD3807,"Turjanmaa, Elina",UNKNOWN
56,20,11,https://services.fsd.tuni.fi/catalogue/FSD3618,"Vasara, Paula",UNKNOWN
57,20,11,https://services.fsd.tuni.fi/catalogue/FSD3618,"Vasara, Paula",UNKNOWN
58,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,Suomalaisen Kirjallisuuden Seura (SKS). Arkisto,UNKNOWN
59,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,"Koski, Kaarina",UNKNOWN
60,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,Suomen Akatemian Mieli ja toinen -projekti,UNKNOWN
61,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,Finnish Literature Society (SKS). Archive,UNKNOWN
62,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,"Koski, Kaarina",UNKNOWN
